environment,model,state_id,task_id,method,variant,adaptation_seed,projection_seed,horizon,whitened_geometry_rmse
PushT,jepa_wm_pusht,49,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7253291132052985
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.1257582499005407
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8321092225952093
PushT,jepa_wm_pusht,50,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,1.0044428160306493
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.2642013782908958
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.8340718572648065
PushT,jepa_wm_pusht,51,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8592603620105574
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.6768014007599009
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.7269610309956014
PushT,jepa_wm_pusht,52,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.7376246302817744
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.0456355804657036
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,0.7684629096016817
PushT,jepa_wm_pusht,53,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,0.8246114555375957
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,1.4969323407198307
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,3,1.1850938841349754
PushT,jepa_wm_pusht,54,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,6,1.1104876121408849
PushT,jepa_wm_pusht,55,6,fidelity_constrained_shuffled_geometry,fidelity_constrained_shuffled_geometry__seed11401,11401,14011,1,0.6853989290688203
