environment,model,state_id,task_id,variant,method,adaptation_seed,decoder_index,decoder_projection_seed,horizon,certificate_bound,normalized_gap,certificate_normalized_regret_q,conventional_normalized_regret,regret_bound_holds,top1_certified,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,2,13537,3,0.9395511002874504,0.03292797551033872,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,0,13501,6,0.6122013297079809,0.0189945493625357,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,1,13519,6,1.2029155388159773,0.0189945493625357,0.39936556443856897,0.39936556443856897,True,False,False,9,5
PushT,jepa_wm_pusht,48,6,frozen,frozen,-1,2,13537,6,1.1842956992451992,0.0189945493625357,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,0,13501,1,1.9567121821109672,0.021846463468537518,0.3961841050703398,0.3961841050703398,True,False,False,9,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,1,13519,1,1.3477282372550548,0.021846463468537518,0.19612234939085493,0.19612234939085493,True,False,False,1,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,2,13537,1,2.502470954009865,0.021846463468537518,0.3961841050703398,0.3961841050703398,True,False,False,9,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,0,13501,3,0.5352644567725692,0.045795884377635314,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,1,13519,3,0.37706663748271046,0.045795884377635314,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,2,13537,3,0.8860404529962662,0.045795884377635314,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,0,13501,6,0.5095040151446262,0.016722331142878723,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,1,13519,6,0.8883952026644052,0.016722331142878723,0.11307668388713481,0.11307668388713481,True,False,False,7,5
PushT,jepa_wm_pusht,49,6,frozen,frozen,-1,2,13537,6,0.4566357881940775,0.016722331142878723,0.0,0.0,True,False,True,5,5
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,0,13501,1,3.359471943769009,0.026574968337305327,0.6799325238708473,0.6799325238708473,True,False,False,8,1
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,1,13519,1,2.5550395583770653,0.026574968337305327,1.0,1.0,True,False,False,0,1
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,2,13537,1,2.4023559768476566,0.026574968337305327,0.932744916162424,0.932744916162424,True,False,False,9,1
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,0,13501,3,1.1152733300311646,0.12856031447576668,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,1,13519,3,1.8868845145223263,0.12856031447576668,1.0,1.0,True,False,False,0,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,2,13537,3,1.0478013808358473,0.12856031447576668,0.0,0.0,True,False,True,2,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,0,13501,6,0.868157965791107,0.022119626255265364,0.11176022326401269,0.11176022326401269,True,False,False,4,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,1,13519,6,2.643734417113154,0.022119626255265364,0.8906714811949892,0.8906714811949892,True,False,False,0,2
PushT,jepa_wm_pusht,50,6,frozen,frozen,-1,2,13537,6,1.4800872162981824,0.022119626255265364,0.11176022326401269,0.11176022326401269,True,False,False,4,2
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,0,13501,1,0.9793921590711834,0.15725227350300996,0.3905729249325504,0.3905729249325504,True,False,False,5,9
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,1,13519,1,2.1806250354162993,0.15725227350300996,0.6974113697977925,0.6974113697977925,True,False,False,1,9
PushT,jepa_wm_pusht,51,6,frozen,frozen,-1,2,13537,1,0.9941620450811353,0.15725227350300996,0.3905729249325504,0.3905729249325504,True,False,False,5,9
