environment,model,state_id,task_id,variant,method,adaptation_seed,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,selected_action,oracle_action
PushT,jepa_wm_pusht,10,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.5717999507807378,1.0,6,6
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.49698986494663716,0.4928671886083223,0.0,8,7
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.6743631771803672,0.3679719865328164,0.0,5,6
PushT,jepa_wm_pusht,11,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.3897544176050021,1.0,6,6
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.15542731492732748,0.8939211199140308,0.0,8,6
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0,0.6062040935107881,1.0,4,4
PushT,jepa_wm_pusht,12,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.01885074951463251,0.7610977092607681,0.0,4,2
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.9488516591828323,0.18350528915883507,0.0,0,6
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.0161718104917741,0.7850071292209969,0.0,4,2
PushT,jepa_wm_pusht,13,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,6,0.0,0.8860253256663309,1.0,2,2
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,1,0.0,nan,1.0,7,0
PushT,jepa_wm_pusht,14,1,fidelity_constrained_shuffled_geometry__seed11401,fidelity_constrained_shuffled_geometry,11401,3,0.22439910568143512,0.7933240616478884,0.0,5,2
