model,ridge,held_out_group,mse
countsketch_1152_15187,1000000.0,mean,1.6445613825853063
countsketch_2304_15161,0.0001,0,0.7833968371786043
countsketch_2304_15161,0.0001,2,1.212915790629018
countsketch_2304_15161,0.0001,4,1.5877503000474236
countsketch_2304_15161,0.0001,6,0.7047244081565113
countsketch_2304_15161,0.0001,mean,1.0721968340028893
countsketch_2304_15161,0.001,0,0.7833869755764904
countsketch_2304_15161,0.001,2,1.2129110824541982
countsketch_2304_15161,0.001,4,1.587750137287589
countsketch_2304_15161,0.001,6,0.7047212482856811
countsketch_2304_15161,0.001,mean,1.0721923609009898
countsketch_2304_15161,0.01,0,0.7832884740179853
countsketch_2304_15161,0.01,2,1.212865213894813
countsketch_2304_15161,0.01,4,1.5877485973463363
countsketch_2304_15161,0.01,6,0.7046896741413545
countsketch_2304_15161,0.01,mean,1.0721479898501223
countsketch_2304_15161,0.1,0,0.7823147784779386
countsketch_2304_15161,0.1,2,1.2125151365345663
countsketch_2304_15161,0.1,4,1.5877416493547496
countsketch_2304_15161,0.1,6,0.7043763819036972
countsketch_2304_15161,0.1,mean,1.071736986567738
countsketch_2304_15161,1.0,0,0.7736469688904083
countsketch_2304_15161,1.0,2,1.2138357501519814
countsketch_2304_15161,1.0,4,1.588267064972439
countsketch_2304_15161,1.0,6,0.7014843622594301
countsketch_2304_15161,1.0,mean,1.0693085365685646
countsketch_2304_15161,10.0,0,0.736856065218929
countsketch_2304_15161,10.0,2,1.2410002479572302
countsketch_2304_15161,10.0,4,1.599944773273217
countsketch_2304_15161,10.0,6,0.6844916296980035
countsketch_2304_15161,10.0,mean,1.065573179036845
countsketch_2304_15161,100.0,0,0.7183777971473844
countsketch_2304_15161,100.0,2,1.2658071367092487
countsketch_2304_15161,100.0,4,1.6378780503390555
countsketch_2304_15161,100.0,6,0.6404294808730003
countsketch_2304_15161,100.0,mean,1.0656231162671723
countsketch_2304_15161,1000.0,0,0.795302382651066
countsketch_2304_15161,1000.0,2,1.2631569717923914
countsketch_2304_15161,1000.0,4,1.6857399372752613
countsketch_2304_15161,1000.0,6,0.6317919608995257
countsketch_2304_15161,1000.0,mean,1.0939978131545611
countsketch_2304_15161,10000.0,0,1.0419819080309216
countsketch_2304_15161,10000.0,2,1.3260758372088393
countsketch_2304_15161,10000.0,4,1.7750117223270316
countsketch_2304_15161,10000.0,6,0.7055806760194697
countsketch_2304_15161,10000.0,mean,1.2121625358965658
countsketch_2304_15161,100000.0,0,1.2712737911842438
countsketch_2304_15161,100000.0,2,1.3723223969194345
countsketch_2304_15161,100000.0,4,1.977233014025332
countsketch_2304_15161,100000.0,6,0.8435192734596607
countsketch_2304_15161,100000.0,mean,1.3660871188971677
countsketch_2304_15161,1000000.0,0,1.4328128793135737
countsketch_2304_15161,1000000.0,2,1.5640152222421415
countsketch_2304_15161,1000000.0,4,2.15927164478072
countsketch_2304_15161,1000000.0,6,1.2224164844857437
countsketch_2304_15161,1000000.0,mean,1.5946290577055449
countsketch_2304_15173,0.0001,0,0.6542263650879715
countsketch_2304_15173,0.0001,2,1.2240521043645234
countsketch_2304_15173,0.0001,4,1.5772884834611811
countsketch_2304_15173,0.0001,6,0.6301554193568983
countsketch_2304_15173,0.0001,mean,1.0214305930676435
countsketch_2304_15173,0.001,0,0.6542263315436737
countsketch_2304_15173,0.001,2,1.2240319558548491
countsketch_2304_15173,0.001,4,1.577295238350923
countsketch_2304_15173,0.001,6,0.6301546925409673
countsketch_2304_15173,0.001,mean,1.0214270545726034
countsketch_2304_15173,0.01,0,0.6542260199938554
countsketch_2304_15173,0.01,2,1.223832332732475
countsketch_2304_15173,0.01,4,1.5773626289714
countsketch_2304_15173,0.01,6,0.6301473830222223
countsketch_2304_15173,0.01,mean,1.021392091179988
countsketch_2304_15173,0.1,0,0.6542242815191307
countsketch_2304_15173,0.1,2,1.222004388519501
countsketch_2304_15173,0.1,4,1.5780213077581446
countsketch_2304_15173,0.1,6,0.6300705004096678
countsketch_2304_15173,0.1,mean,1.0210801195516113
countsketch_2304_15173,1.0,0,0.6540706261679315
countsketch_2304_15173,1.0,2,1.2120534296011805
countsketch_2304_15173,1.0,4,1.5834568906350173
countsketch_2304_15173,1.0,6,0.6291206593066854
countsketch_2304_15173,1.0,mean,1.0196754014277036
countsketch_2304_15173,10.0,0,0.6506538902381548
countsketch_2304_15173,10.0,2,1.2003929760952863
countsketch_2304_15173,10.0,4,1.6033061414839316
countsketch_2304_15173,10.0,6,0.6212286207385997
countsketch_2304_15173,10.0,mean,1.018895407138993
countsketch_2304_15173,100.0,0,0.6796724415416375
countsketch_2304_15173,100.0,2,1.2162839637194536
countsketch_2304_15173,100.0,4,1.6299475857541497
countsketch_2304_15173,100.0,6,0.5922559213892877
countsketch_2304_15173,100.0,mean,1.0295399781011323
countsketch_2304_15173,1000.0,0,0.7972610068529636
countsketch_2304_15173,1000.0,2,1.2438345346941637
countsketch_2304_15173,1000.0,4,1.680567271769991
