environment,state_id,task_id,split,planner,method,horizon,normalized_regret,weighted_pairwise_accuracy,top1_correct,normalized_margin_rmse,transition_seeds_averaged
PushT,58,7,probe_calibration,native_metric,target_oracle,1,0.0,0.6280001704475663,1.0,0.9987179376952319,1
PushT,58,7,probe_calibration,native_metric,target_oracle,3,0.7296070409112202,0.3425140990720659,0.0,1.1430882070613189,1
PushT,58,7,probe_calibration,native_metric,target_oracle,6,0.0,0.39080599568551205,1.0,1.2280364663183463,1
PushT,59,7,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,59,7,probe_calibration,native_metric,target_oracle,3,0.012217368968514155,0.9220082878225624,0.0,0.8487999449767877,1
PushT,59,7,probe_calibration,native_metric,target_oracle,6,0.49224664543798513,0.6749812385003837,0.0,0.9501634071145726,1
PushT,60,7,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,60,7,probe_calibration,native_metric,target_oracle,3,0.20337104347750928,0.7174650695454422,0.0,0.9264378783975836,1
PushT,60,7,probe_calibration,native_metric,target_oracle,6,0.0,0.9443569117153258,1.0,0.5877358692484915,1
PushT,61,7,probe_calibration,native_metric,target_oracle,1,1.0,0.5409264555547468,0.0,1.0003372537315263,1
PushT,61,7,probe_calibration,native_metric,target_oracle,3,1.0,0.06574185169117504,0.0,1.1536893744349763,1
PushT,61,7,probe_calibration,native_metric,target_oracle,6,1.0,0.273374652539972,0.0,1.1573220288703279,1
PushT,62,7,probe_calibration,native_metric,target_oracle,1,0.00974118672158803,0.923016073438976,0.0,0.994004468012302,1
PushT,62,7,probe_calibration,native_metric,target_oracle,3,1.0,0.25056518462697813,0.0,1.0934008196624199,1
PushT,62,7,probe_calibration,native_metric,target_oracle,6,0.0,0.44017285887541097,1.0,1.1089313032314332,1
PushT,63,7,probe_calibration,native_metric,target_oracle,1,0.0,0.2222222222222222,1.0,1.0003018957859449,1
PushT,63,7,probe_calibration,native_metric,target_oracle,3,0.0,0.1458564676180216,1.0,1.1656581036621763,1
PushT,63,7,probe_calibration,native_metric,target_oracle,6,1.0,0.294927519579982,0.0,1.2054610776592491,1
PushT,80,10,probe_calibration,native_metric,target_oracle,1,0.0,0.9492674586976478,1.0,0.9855907128895587,1
PushT,80,10,probe_calibration,native_metric,target_oracle,3,0.06180467017114874,0.5551297600113954,0.0,0.9733989149343305,1
PushT,80,10,probe_calibration,native_metric,target_oracle,6,0.0,0.9293738471064961,1.0,0.7182905222588793,1
PushT,81,10,probe_calibration,native_metric,target_oracle,1,0.0889941305605468,0.5683804908059655,0.0,0.9972947811294545,1
PushT,81,10,probe_calibration,native_metric,target_oracle,3,0.10753489968807604,0.8399520994768516,0.0,0.7173145722175911,1
PushT,81,10,probe_calibration,native_metric,target_oracle,6,0.022801833867934655,0.6505763822686679,0.0,0.995459991173793,1
PushT,82,10,probe_calibration,native_metric,target_oracle,1,1.0,0.3009298653987411,0.0,1.0020116702769692,1
PushT,82,10,probe_calibration,native_metric,target_oracle,3,0.06219646913018014,0.9898596865437188,0.0,0.5067916348491427,1
PushT,82,10,probe_calibration,native_metric,target_oracle,6,0.0,0.8852137701939267,1.0,0.8020573565589516,1
PushT,83,10,probe_calibration,native_metric,target_oracle,1,1.0,0.5555555555555556,0.0,0.9993437813558406,1
PushT,83,10,probe_calibration,native_metric,target_oracle,3,1.0,0.11489554979169447,0.0,1.1379670496927679,1
PushT,83,10,probe_calibration,native_metric,target_oracle,6,0.0,0.7467698849476918,1.0,0.9278155415266979,1
PushT,84,10,probe_calibration,native_metric,target_oracle,1,0.11530285579757144,0.8930489349356052,0.0,0.9910057256127799,1
PushT,84,10,probe_calibration,native_metric,target_oracle,3,0.1658242371892691,0.848477032465487,0.0,0.7614472723379756,1
PushT,84,10,probe_calibration,native_metric,target_oracle,6,0.14961402689249637,0.7522732164587304,0.0,0.8897612815314283,1
PushT,85,10,probe_calibration,native_metric,target_oracle,1,0.6091831923754388,0.326326660817772,0.0,1.0020203481219991,1
PushT,85,10,probe_calibration,native_metric,target_oracle,3,0.4509540641807089,0.7952859387836018,0.0,0.9365368720298679,1
PushT,85,10,probe_calibration,native_metric,target_oracle,6,0.0,0.7346908748016352,1.0,0.7986480449659759,1
PushT,86,10,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,86,10,probe_calibration,native_metric,target_oracle,3,0.4008982752347293,0.7132253892062569,0.0,0.9599221242149059,1
PushT,86,10,probe_calibration,native_metric,target_oracle,6,0.0,0.469048645277372,1.0,1.133922221041396,1
PushT,87,10,probe_calibration,native_metric,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,87,10,probe_calibration,native_metric,target_oracle,3,0.23959259644456535,0.8609178429286929,0.0,0.8667037238315488,1
PushT,87,10,probe_calibration,native_metric,target_oracle,6,0.001053274299145812,0.9287478354182048,0.0,0.8069400976888852,1
PushT,32,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,1.0,1.0,0.0,1
PushT,32,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
PushT,32,4,probe_calibration,simulator_oracle,target_oracle,6,0.0,1.0,1.0,0.0,1
PushT,33,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,1.0,1.0,0.0,1
PushT,33,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
PushT,33,4,probe_calibration,simulator_oracle,target_oracle,6,0.0,1.0,1.0,0.0,1
PushT,34,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,34,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
PushT,34,4,probe_calibration,simulator_oracle,target_oracle,6,0.0,1.0,1.0,0.0,1
PushT,35,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,1.0,1.0,0.0,1
PushT,35,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
PushT,35,4,probe_calibration,simulator_oracle,target_oracle,6,0.0,1.0,1.0,0.0,1
PushT,36,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,nan,1.0,0.0,1
PushT,36,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
PushT,36,4,probe_calibration,simulator_oracle,target_oracle,6,0.0,1.0,1.0,0.0,1
PushT,37,4,probe_calibration,simulator_oracle,target_oracle,1,0.0,1.0,1.0,0.0,1
PushT,37,4,probe_calibration,simulator_oracle,target_oracle,3,0.0,1.0,1.0,0.0,1
